ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,3,5,1.5m,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,40.0,10.0u,,4,,4,4,4,4
ISGS,,9.9m,40.0,10.0u,RV,5,,5,5,5,5
ISGS,,100n,30.0,1.0u,,6,,6,6,6,6
ISGS,,100n,30.0,1.0u,RV,7,,7,7,7,7
RDON,,98m,19.0,10.0,,8,,8,8,8,8
BVDSS,615,,250.0u,990.0,,11,11,,11,11,11
BVDSS,615,,250.0u,990.0,,13,13,,13,13,13
BVDSS,615,,1.0m,990.0,,15,15,,15,15,15
BVDSS,615,,10.0m,990.0,,17,17,,17,17,17
BVDSS,615,,100.0u,990.0,,19,19,,19,19,19
VTH,3,5,1.5m,0.0p,,21,22,21,21,21,21
ABSDEL,,0.2,2.0,21.0,,23,,23,23,23,23
DIVID,0.9,1.1,15.0,13.0,,24,25,24,24,24,24
DIVID,0.9,1.1,17.0,15.0,,26,27,26,26,26,26
ABSDEL,,10,13.0,11.0,,28,,28,28,28,28
ABSDEL,,30,13.0,19.0,,29,,29,29,29,29
ABSDEL,,30,15.0,13.0,,30,,30,30,30,30
VFSD,0.5,1.3,1.0,0.0p,,31,32,31,31,31,31
VFSD,0.5,1.3,19.0,0.0p,,33,34,33,33,33,33
IDSS,,120n,600.0,1.0u,,35,,35,35,35,35
ISGS,,70n,30.0,1.0u,,36,,36,36,36,36
ISGS,,70n,30.0,1.0u,RV,37,,37,37,37,37
